Txhash;Blockno;UnixTimestamp;DateTime;From;To;ContractAddress;Value_IN(ETH);Value_OUT(ETH);CurrentValue @ $522.15/Eth;TxnFee(ETH);TxnFee(USD);Historical $Price/Eth;Status;ErrCode
0x1bb095d95ce6209fdf24c7616038b1aec713297b91c4690c504564877dbd9cd8;11272035;1605571209;2020-11-17 00:00:09;0x14882b637a9f3bb5b150e7fdd23ddc95cca13643;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.1;0;52.215;0.002489765;1.3000307948;482.71;;
0x0383b3377dd1f259049bf674c21ecfcb231b498cb0fe9af274d55e298ca46a2f;11272056;1605571440;2020-11-17 00:04:00;0x7253ba8c85efc0681a021e884ee08b9ff953bbe2;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.05;0;26.1075;0.00240945;1.2580943175;482.71;;
0xca0451d831c25567d9134667e3c1a76fb93f3ce5b6a04f73c165b88ebad8c548;11272060;1605571491;2020-11-17 00:04:51;0x280589bfd85ecd518c823c0bb0d954187c5f64ab;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0;0;0;0.002127712;1.1109848208;482.71;;
0x37d1b980b5bdfab29c1d30b3e2fcc28abddb6e53e420adcd05a3c7cb4cb89b70;11272071;1605571695;2020-11-17 00:08:15;0x0181bb567afb874d1052b19757a57683c860e3dd;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.5;0;261.075;0.006452754;3.3693055011;482.71;;
0xd03cffc9969ead04643c619c8b76cbcdb408ee9edaef6e8c390bee0f978d7c4e;11272079;1605571773;2020-11-17 00:09:33;0xdef255a197e4a109bcfa1c9e895e4aeda685db16;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.45;0;234.9675;0.0039242857;2.0490657857;482.71;;
0x992bdb8db3d1da85a8c5835e7cad8ef1b84321bc1cde06e48a31cfbbc2e0ea72;11272085;1605571820;2020-11-17 00:10:20;0xda524c64bad6a8610fdd95c515202b9d52ddbba2;0xfef0d2f3a79b4338d8418003dd9df89281242063;;1;0;522.15;0.005297216;2.7659413344;482.71;;
0x12ef4b5a1aaac660355db5a3477f477e8e3a843ba1ed542195a273e6fd4bf27e;11272086;1605571842;2020-11-17 00:10:42;0xa2552ed19556893fd2de8c0457e0375323131bb9;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.2;0;104.43;0.000747504;0.3903092136;482.71;Error(0);Reverted
0x75a62769df681744be2df13d1452c0a79b1615190496b3d657d1bc6556051402;11272096;1605571923;2020-11-17 00:12:03;0xda524c64bad6a8610fdd95c515202b9d52ddbba2;0xfef0d2f3a79b4338d8418003dd9df89281242063;;1;0;522.15;0.0039242857;2.0490657857;482.71;;
0xbef4063ab4bf0393455708ffc26aadde0893e78ab1d350d54a4f606840c53e43;11272099;1605571966;2020-11-17 00:12:46;0xcc13dcb0b2e24bdcf62e0ccc8a65f27ddbe3be69;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.1;0;52.215;0.0057805862;3.0183331052;482.71;;
0x48eacc9da57f0a7a1ee8279fee3b0a236048d1c1067f82e12bf283a2fe929668;11272123;1605572319;2020-11-17 00:18:39;0x63053d3942efe7147b0dffaa4c9c8eb1ae69dd1f;0xfef0d2f3a79b4338d8418003dd9df89281242063;;1;0;522.15;0.003935616;2.0549818944;482.71;;
