Txhash;Blockno;UnixTimestamp;DateTime;From;To;ContractAddress;Value_IN(ETH);Value_OUT(ETH);CurrentValue @ $467.34/Eth;TxnFee(ETH);TxnFee(USD);Historical $Price/Eth;Status;ErrCode
0xbb25c22594faccd1136fa088abb3f9de30b2e5881385cafa45c55371636928bd;11167893;1604189969;2020-11-01 00:19:29;0x59b13543e1e5aaa562594b4370eb8123a3e55780;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.5;0;233.67;0.0047113546;2.2018044562;396.49;;
0x639408dec11f6b2ace090a19f6edd1f8411e90cd994addc305d07c39895f2038;11167905;1604190093;2020-11-01 00:21:33;0x81b03c35bfa79767bf86962e224512922c84ff16;0xfef0d2f3a79b4338d8418003dd9df89281242063;;3.33;0;1556.2422;0.0101772817;4.7562508322;396.49;;
0xd6c6ebd824b7a3f65b1a16330d900ef7d7e7161066b51963396f83ff89716654;11167906;1604190111;2020-11-01 00:21:51;0x59b13543e1e5aaa562594b4370eb8123a3e55780;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.5;0;233.67;0.0024574;1.148441316;396.49;;
0x92f94f31459949d984c2995b78792f467ef42de01bc42a1ab946c2307fdf694d;11167912;1604190187;2020-11-01 00:23:07;0x59b13543e1e5aaa562594b4370eb8123a3e55780;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.5;0;233.67;0.0024328383;1.136962645;396.49;;
0xa687c9051724a7f0de5e59cab25a8c77d2166943a6bc0eac2979c4d18aa1b7b4;11167960;1604190772;2020-11-01 00:32:52;0x1d79073d7cf19db5c9b100dbfb816fca90211530;0xfef0d2f3a79b4338d8418003dd9df89281242063;;2.5;0;1168.35;0.0183138943;8.5588153622;396.49;;
0xe690acef832304d6269855c152e3ee08d66cf58b7c7836aba93e552fe29dacd1;11167985;1604191150;2020-11-01 00:39:10;0xa5164ea1f94ab940fbff1efc6b213816cc65040d;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.5;0;233.67;0.004298712;2.0089600661;396.49;;
0xb852da9f2e6026bbc0259c0ccc8d7076a3e7ffcd2aa9e8612ff987570e4f84c6;11167997;1604191379;2020-11-01 00:42:59;0x733aaf0eaf8abbc92701181a2b8a3cc4968dfffc;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.05;0;23.367;0.004298976;2.0090834438;396.49;;
0xf04b59d3e743c93f8d717001278acd8a880399e80a788072fb4618697346acdb;11168148;1604193299;2020-11-01 01:14:59;0xe6cf276417470b550b90f375d32f53da2dd2eb55;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.2;0;93.468;0.004298976;2.0090834438;396.49;;
0x09387b29c1c809ee10314d5d11586b8061f001b34dab8ad02600636fe20af772;11168193;1604193909;2020-11-01 01:25:09;0x356ae8934c4b45357af9f3d0b716f26c1968152f;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.05;0;23.367;0.0044472325;2.0783696364;396.49;;
0x6a50b73c0863b96ee2d7d8e37659a429d8b13075ea5b322a0f7e3f44829fa88e;11168199;1604193987;2020-11-01 01:26:27;0x356ae8934c4b45357af9f3d0b716f26c1968152f;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.05;0;23.367;0.001763806;0.824297096;396.49;;
0x2644e9b6ee99c5003693b5dfd76bee518a8c83271bdcc7cbe941fa7cc8bbbe0f;11168203;1604194018;2020-11-01 01:26:58;0x356ae8934c4b45357af9f3d0b716f26c1968152f;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.05;0;23.367;0.002702876;1.2631620698;396.49;;
0x01e1fd6a706885a613a19eea6d1ec011ff7708fe2d18a3ed92e426509f34ed3a;11168208;1604194101;2020-11-01 01:28:21;0x356ae8934c4b45357af9f3d0b716f26c1968152f;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.07;0;32.7138;0.002702876;1.2631620698;396.49;;
0x7435100a80aa330dabb17468edc991a7500a9f2f89430ff8c4996b008f79e314;11168237;1604194570;2020-11-01 01:36:10;0x356ae8934c4b45357af9f3d0b716f26c1968152f;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.07;0;32.7138;0.0025800182;1.2057457017;396.49;;
0x5e91c657097306d5050a452777d80cca4bcd863916e5eceb7d736e96730abe66;11168359;1604195984;2020-11-01 01:59:44;0xa180ba7d5a7aa29b5f87f97d583d763cfa36d6b2;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0;0;0;0.005594876;2.6147093498;396.49;;
0x518a97ef3edf7a6a0874d5ddd18e6c6be3326ea9086591c5f47b2c79e2ce899c;11168424;1604196946;2020-11-01 02:15:46;0xa180ba7d5a7aa29b5f87f97d583d763cfa36d6b2;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0;0;0;0.0054066024;2.5267215727;396.49;;
0x8f4c52acd9058d5743c51ab2e016fc167d0d27b3987e4216a7287315da900d0d;11168430;1604197022;2020-11-01 02:17:02;0xa180ba7d5a7aa29b5f87f97d583d763cfa36d6b2;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0;0;0;0.0045813838;2.1410639051;396.49;;
0x2fe4b562a4b4c8a50c311d88892a5631d8b7329a6fa5035435264439f280644b;11168431;1604197030;2020-11-01 02:17:10;0x54fb0f19a148054c4c0987e00285af96b21e259b;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.05;0;23.367;0.0031460688;1.470283793;396.49;;
0x73863c3396b244e643973f8046d19e4e187beaa22705ae876221ca2f89c87c9d;11168437;1604197104;2020-11-01 02:18:24;0xa180ba7d5a7aa29b5f87f97d583d763cfa36d6b2;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0;0;0;0.0042683704;1.9947802298;396.49;;
0x2b8a78fb7d521fc950f9141c72abbb358b8ea6fdade281189733eee95f73b4c7;11168467;1604197521;2020-11-01 02:25:21;0xa180ba7d5a7aa29b5f87f97d583d763cfa36d6b2;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0;0;0;0.003815728;1.7832423235;396.49;;
0x221cd9a06f66f92129f39e673a37eaa1c65bd4123e7ba5b470b71dcc7d2f1de7;11168500;1604197962;2020-11-01 02:32:42;0xa180ba7d5a7aa29b5f87f97d583d763cfa36d6b2;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0;0;0;0.0039842553;1.8620018819;396.49;;
0x68ad563f06a4a5f290dea0417beaaf10b16aa3e9e453048f80e67766ec22d7fd;11168571;1604198871;2020-11-01 02:47:51;0xbf30470d3ea137348dc62a588462bd1c3468c1bc;0xfef0d2f3a79b4338d8418003dd9df89281242063;;2;0;934.68;0.0383114628;17.904479025;396.49;;
0x0e0a274283c9865638108edd37e58081c2c62407821d922359e6115bc340795d;11168729;1604201150;2020-11-01 03:25:50;0x1d79073d7cf19db5c9b100dbfb816fca90211530;0xfef0d2f3a79b4338d8418003dd9df89281242063;;5;0;2336.7;0.015744977;7.3582575512;396.49;;
0xdc36ef2b06584a3575a8f36126229976d25ca3cabf06a6555f8bfabd9d476b58;11168813;1604202178;2020-11-01 03:42:58;0xaa83617677278fa8ff1d2571ea663e67e79def8a;0xfef0d2f3a79b4338d8418003dd9df89281242063;;2;0;934.68;0.00233453;1.0910192502;396.49;;
0x6863615845ef7c491a97524db232777505ebfb21cf5c4d7ac58b641e1ba5d1c8;11168835;1604202376;2020-11-01 03:46:16;0xe1a69ac8b43387a8752a5a83ca6dac88b7ee5b81;0xfef0d2f3a79b4338d8418003dd9df89281242063;;1;0;467.34;0.012611138;5.8936892329;396.49;;
0xc2e44d70f7b94621a379e3a64532b0dc7a33515938198629a07736b11c49b947;11168839;1604202441;2020-11-01 03:47:21;0xe1a69ac8b43387a8752a5a83ca6dac88b7ee5b81;0xfef0d2f3a79b4338d8418003dd9df89281242063;;1;0;467.34;0.00651211;3.0433694874;396.49;;
0x1a2d6019a6fa345bd767136f04b16757088fe17b88b40efbab9c033c70e5468f;11168879;1604202999;2020-11-01 03:56:39;0xd8af255479a76ee221b2c5fcf95cf5ba019277e9;0xfef0d2f3a79b4338d8418003dd9df89281242063;;0.1;0;46.734;0.002072175;0.9684102645;396.49;;
