Day;M HEX;Total;HEX/ETH
1;1000;21015;47584
2;513.319;6152;83433
3;512.967;2516;203870
4;512.688;1946;263339
5;512.584;1314;389840
6;512.537;1146;446877
7;512.453;1322;387356
8;512.405;1015;504659
9;512.392;871.919;587660
10;512.34;959.994;533691
11;512.323;995.466;514656
12;512.29;903.951;566723
13;512.273;797.716;642175
14;512.264;783.505;653810
15;512.252;646.604;792218
16;512.248;721.994;709490
17;512.212;670.516;763907
18;512.211;607.77;842771
19;512.144;497.018;1.030M
20;512.117;737.539;694359
21;512.115;604.853;846678
22;512.115;569.878;898639
23;512.114;581.76;880284
24;512.099;546.491;937068
25;512.025;487.554;1.050M
26;511.999;403.764;1.268M
27;511.988;354.688;1.443M
28;511.96;375.094;1.364M
29;511.958;387.12;1.322M
30;511.902;362.335;1.412M
31;511.901;361.166;1.417M
32;511.901;329.102;1.555M
33;511.898;277.932;1.841M
34;511.886;424.622;1.205M
35;511.884;402.823;1.270M
36;511.884;396.328;1.291M
37;511.884;374.95;1.365M
38;511.861;350.742;1.459M
39;511.835;392.631;1.303M
40;511.8;470.847;1.086M
41;511.796;422.425;1.211M
42;511.771;431.988;1.184M
43;511.77;282.229;1.813M
44;511.768;357.268;1.432M
45;511.768;463.138;1.105M
46;511.768;421.088;1.215M
47;511.768;440.967;1.160M
48;511.768;378.314;1.352M
49;511.768;436.485;1.172M
50;511.767;429.59;1.191M
51;511.767;499.75;1.024M
52;511.767;750.45;681946
53;511.767;494.248;1.035M
54;511.767;523.872;976893
55;511.767;517.53;988863
56;511.767;524.749;975259
57;511.767;575.18;889750
58;511.765;714.737;716018
59;511.764;623.682;820553
60;511.763;667.033;767222
61;511.763;898.093;569832
62;511.745;1066;479625
63;511.744;1115;458626
64;511.744;793.094;645249
65;511.743;1434;356654
66;511.741;1416;361192
67;511.727;1272;402183
68;511.727;1193;428628
69;511.725;1142;447820
70;511.725;1088;470230
71;511.724;1158;441658
72;511.724;932.81;548583
73;511.717;856.303;597589
74;511.717;793.766;644670
75;511.717;765.55;668430
76;511.717;822.314;622288
77;511.717;712.823;717873
78;511.716;726.512;704346
79;511.716;728.299;702618
80;511.716;732.045;699022
81;511.712;745.519;686382
82;511.711;778.93;656941
83;511.711;756.311;676588
84;511.711;801.194;638685
85;511.709;764.057;669725
86;511.708;771.413;663339
87;511.696;777.28;658316
88;511.696;745.104;686745
89;511.695;737.197;694109
90;511.695;744.956;686879
91;511.694;773.533;661502
92;511.694;749.865;682381
93;511.693;741.115;690437
94;511.693;724.86;705919
95;511.693;713.506;717152
96;511.691;729.578;701351
97;511.691;750.324;681960
98;511.688;793;645256
99;511.688;820.689;623486
100;511.688;892.51;573313
101;511.688;1033;495147
102;511.688;1376;371679
103;511.688;1384;369707
104;511.688;1563;327321
105;511.685;1883;271657
106;511.685;2659;192418
107;511.685;2163;236520
108;511.667;2228;229553
109;511.667;2325;220026
110;511.666;2436;210005
111;511.664;2444;209296
112;511.664;2477;206508
113;511.664;2456;208278
114;511.664;2515;203371
115;511.658;2403;212840
116;511.658;2277;224645
117;511.658;2295;222874
118;511.658;2320;220453
119;511.657;2354;217332
120;511.657;2309;221538
121;511.657;2442;209497
122;511.59;2392;213844
123;511.589;2377;215150
124;511.588;2373;215545
125;511.586;2378;215061
126;511.584;2328;219737
127;511.575;2401;213025
128;511.574;2374;215449
129;511.574;2360;216677
130;511.574;2401;213063
131;511.574;2468;207221
132;511.574;2473;206817
133;511.573;2473;206811
134;511.573;2492;205268
135;511.573;2546;200900
136;511.573;2574;198736
137;511.572;3180;160831
138;511.5;5464;93609
139;511.474;6230;82090
140;511.473;6916;73948
141;511.256;9706;52671
142;511.246;10676;47886
143;511.213;9187;55644
144;511.157;7827;65301
145;511.139;9574;53384
146;511.109;9920;51518
147;511.096;9488;53866
148;511.094;9996;51126
149;511.081;11043;46278
150;511.077;12652;40393
151;511.058;15106;33830
152;511.053;15319;33359
153;511.018;14648;34885
154;511;17664;28927
155;510.983;19552;26133
156;510.977;19532;26159
157;510.973;18389;27786
158;510.952;17843;28634
159;510.936;18699;27323
160;510.93;20136;25372
161;510.929;20570;24837
162;510.927;20535;24879
163;510.926;21373;23905
164;510.926;19975;25577
165;510.925;20964;24370
166;510.686;19545;26128
167;510.684;16934;30155
168;510.678;15255;33474
169;510.677;11945;42751
170;510.674;13085;39026
171;510.674;12755;40035
172;510.674;12194;41876
173;510.673;12465;40966
174;510.664;12871;39673
175;510.663;13526;37753
176;510.663;15232;33523
177;510.663;15367;33230
178;510.659;15017;34005
179;510.659;15011;34017
180;510.659;13866;36827
181;510.658;13320;38336
182;510.658;12964;39389
183;510.657;11158;45764
184;510.656;11529;44292
185;510.647;11511;44359
186;510.646;11426;44690
187;510.643;11092;46033
188;510.623;9553;53450
189;510.622;8415;60673
190;510.622;10667;47865
191;510.619;10579;48267
192;510.619;11162;45745
193;510.593;10827;47158
194;510.593;10108;50510
195;510.592;9746;52388
196;510.592;9633;53002
197;510.592;9223;55359
198;510.576;9591;53231
199;510.559;9631;53006
200;510.555;9492;53787
201;510.555;9703;52616
202;510.555;9309;54844
203;510.554;9157;55753
204;510.553;8932;57158
205;510.553;8960;56977
206;510.553;8733;58459
207;510.553;8587;59454
208;510.551;8693;58729
209;510.537;8775;58175
210;510.537;9060;56349
211;510.537;9360;54541
212;510.537;10267;49722
213;510.536;9955;51279
214;510.536;9809;52044
215;510.536;10000;51051
216;510.536;9888;51628
217;510.536;9891;51611
218;510.535;10539;48441
219;510.535;10382;49173
220;510.535;10360;49277
221;510.527;10166;50217
222;510.526;9851;51822
223;510.522;11280;45257
224;510.522;10410;49039
225;510.522;10118;50454
226;510.522;10010;50999
227;510.522;10361;49270
228;510.522;10262;49748
229;510.522;10472;48750
230;510.522;10870;46962
231;510.52;10829;47142
232;510.518;10696;47728
233;510.516;11238;45426
234;510.515;11021;46321
235;510.513;10520;48524
236;510.512;10594;48186
237;510.512;10269;49710
238;510.512;13161;38788
239;510.512;12296;41518
240;510.512;12358;41308
241;510.512;12361;41297
242;510.512;11565;44141
243;510.5;9093;56139
244;510.5;8517;59932
245;510.499;7632;66886
246;510.499;7579;67349
247;510.499;6928;73681
248;510.499;7161;71283
249;510.499;7261;70298
250;510.499;6807;74986
251;510.499;6859;74417
252;510.499;6510;78406
253;510.499;6097;83722
254;510.499;5732;89057
255;510.499;5067;100741
256;510.499;3873;131788
257;510.498;4155;122858
258;510.498;5065;100789
259;510.497;4468;114244
260;510.497;4694;108752
261;510.497;4360;117074
262;510.496;4877;104666
263;510.496;5045;101182
264;510.496;5015;101780
265;510.496;5153;99057
266;510.496;5901;86495
267;510.496;5815;87788
268;510.496;5510;92640
269;510.496;5418;94208
270;510.496;5774;88407
271;510.496;5402;94493
272;510.495;4834;105598
273;510.495;4550;112175
274;510.495;4145;123131
275;510.495;3966;128705
276;510.495;4090;124802
277;510.495;4486;113780
278;510.495;4591;111186
279;510.495;4656;109629
280;510.495;4835;105570
281;510.495;4915;103860
282;510.495;5546;92031
283;510.495;5526;92373
284;510.493;5220;97780
285;510.493;5178;98570
286;510.493;4871;104796
287;510.493;4726;108004
288;510.493;4432;115179
289;510.491;4515;113044
290;510.491;4774;106926
291;510.491;5476;93208
292;510.491;6525;78224
293;510.491;7639;66826
294;510.49;7787;65551
295;510.489;7752;65849
296;510.489;6752;75595
297;510.489;6981;73124
298;510.483;6599;77350
299;510.483;7584;67307
300;510.483;6663;76608
301;510.483;7800;65444
302;510.483;7652;66708
303;510.483;7599;67174
304;510.482;7350;69447
305;510.482;7491;68143
306;510.482;7842;65091
307;510.482;7817;65302
308;510.482;7617;67017
309;510.482;7310;69831
310;510.482;8090;63096
311;510.481;8101;63007
312;510.481;7852;65007
313;510.481;8190;62323
314;510.481;7365;69302
315;510.481;7391;69061
316;510.481;7330;69639
317;510.481;7178;71114
318;510.481;7560;67520
319;510.481;7742;65929
320;510.48;8180;62398
321;510.48;7920;64446
322;510.48;8364;61032
323;510.479;9562;53381
324;510.479;8968;56916
325;510.479;9298;54900
326;510.478;10816;47192
327;510.477;11785;43312
328;510.475;14260;35795
329;510.475;13900;36723
330;510.475;13750;37123
331;510.475;16615;30723
332;510.474;16723;30523
333;510.474;20239;25221
334;510.474;24545;20796
335;510.474;25214;20245
336;510.473;23982;21285
337;510.473;20725;24629
338;510.472;20695;24666
339;510.472;15194;33594
340;510.472;13833;36901
341;510.472;12620;40447
342;510.472;10907;46799
343;510.472;14356;35556
344;510.472;12454;40986
345;510.472;13204;38658
346;510.472;13170;38759
347;510.472;13170;38759
348;510.472;13170;38759
349;510.472;13170;38759
350;510.472;13170;38759
351;510.472;13170;38759
